epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.651,0.83477,2.96755,1.33342,0.32956,0.33934,0.15419,0.10812,1.06573,3.30469,1.66698,0.000329457,0.000329457,0.000329457
2,1283.31,0.87326,2.22732,1.3266,0.39733,0.53707,0.24914,0.16982,1.12557,4.65334,1.79662,0.000649667,0.000649667,0.000649667
3,1960.06,0.89643,2.1287,1.34841,0.4015,0.53476,0.3091,0.20844,1.15723,2.67604,1.80725,0.000956678,0.000956678,0.000956678
4,2572.29,0.88105,2.04466,1.36097,0.42006,0.46894,0.30103,0.18087,1.35617,2.83049,1.91258,0.0009406,0.0009406,0.0009406
5,2956.01,0.88991,1.89649,1.34583,0.39121,0.52644,0.31394,0.21826,1.07259,2.45596,1.67573,0.0009208,0.0009208,0.0009208
6,3376.53,0.83814,1.84595,1.31835,0.46456,0.53343,0.32488,0.2261,0.99677,2.18439,1.61484,0.000901,0.000901,0.000901
7,3870.28,0.85995,1.82342,1.33303,0.51238,0.52022,0.39755,0.23358,1.18964,2.21166,1.80776,0.0008812,0.0008812,0.0008812
8,4471.48,0.80056,1.75477,1.31206,0.57852,0.49922,0.3888,0.27094,1.03042,2.13882,1.65095,0.0008614,0.0008614,0.0008614
9,5074.45,0.76929,1.64961,1.28512,0.60503,0.38947,0.40353,0.26694,0.96584,1.94895,1.55139,0.0008416,0.0008416,0.0008416
10,12357.4,0.77001,1.60703,1.26098,0.57707,0.45176,0.38494,0.27045,1.08489,1.9357,1.73083,0.0008218,0.0008218,0.0008218
11,12818.7,0.78202,1.54845,1.2654,0.52639,0.52898,0.45166,0.31186,0.96832,1.82996,1.531,0.000802,0.000802,0.000802
12,13186.5,0.73669,1.51305,1.23717,0.59457,0.47554,0.44451,0.32293,0.9772,1.74712,1.53407,0.0007822,0.0007822,0.0007822
13,13574.2,0.73518,1.49095,1.23876,0.53386,0.42308,0.41942,0.29149,0.9258,1.69933,1.47833,0.0007624,0.0007624,0.0007624
14,13969.5,0.71672,1.45774,1.22652,0.39418,0.5525,0.488,0.33704,0.98846,1.67871,1.51161,0.0007426,0.0007426,0.0007426
15,14311.9,0.73377,1.39283,1.23292,0.5632,0.51319,0.4592,0.29419,1.00772,1.66592,1.56297,0.0007228,0.0007228,0.0007228
16,14748.1,0.70105,1.40473,1.23399,0.47594,0.70501,0.55649,0.41412,0.91675,1.61493,1.44886,0.000703,0.000703,0.000703
17,15145.6,0.6993,1.3558,1.21992,0.6021,0.45396,0.45498,0.33412,0.95562,1.58909,1.49132,0.0006832,0.0006832,0.0006832
18,15528.8,0.69147,1.3306,1.20397,0.60775,0.56474,0.47204,0.33243,1.00231,1.69416,1.57228,0.0006634,0.0006634,0.0006634
19,15935.4,0.68047,1.25102,1.19023,0.42475,0.72572,0.58717,0.4519,0.92249,1.49431,1.4555,0.0006436,0.0006436,0.0006436
20,16327.2,0.67811,1.24354,1.20439,0.46333,0.65301,0.55716,0.41747,0.9295,1.39449,1.49282,0.0006238,0.0006238,0.0006238
21,21587.6,0.6739,1.23313,1.18923,0.7709,0.53859,0.643,0.4957,0.87606,1.41305,1.38635,0.000604,0.000604,0.000604
22,45555.1,0.68299,1.19668,1.18798,0.61556,0.535,0.60473,0.41179,0.9156,1.47975,1.42636,0.0005842,0.0005842,0.0005842
23,45917.2,0.66703,1.17698,1.16519,0.40455,0.72267,0.55309,0.40755,0.9069,1.3656,1.51862,0.0005644,0.0005644,0.0005644
24,46249.6,0.6448,1.14626,1.16739,0.53918,0.59227,0.57761,0.4398,0.89611,1.43904,1.44691,0.0005446,0.0005446,0.0005446
25,46593.5,0.63567,1.14898,1.17964,0.56438,0.60851,0.55483,0.42213,0.87604,1.58681,1.43376,0.0005248,0.0005248,0.0005248
26,46966,0.65903,1.0982,1.17315,0.78229,0.56434,0.66056,0.49723,0.90783,1.27632,1.43792,0.000505,0.000505,0.000505
27,47501.9,0.63287,1.07709,1.15295,0.57424,0.64875,0.59735,0.45413,0.88423,1.30801,1.44716,0.0004852,0.0004852,0.0004852
28,48206.1,0.60106,1.07139,1.14236,0.52438,0.64394,0.5883,0.47429,0.83323,1.25427,1.38021,0.0004654,0.0004654,0.0004654
29,50113.5,0.61755,1.06773,1.14803,0.61765,0.68827,0.6792,0.50383,0.90974,1.2344,1.47945,0.0004456,0.0004456,0.0004456
30,50486.4,0.61703,1.02104,1.15254,0.59523,0.52597,0.60333,0.44857,0.87923,1.29904,1.40704,0.0004258,0.0004258,0.0004258
31,50853,0.61202,0.99016,1.15163,0.50874,0.56096,0.56598,0.4316,0.80968,1.25312,1.35149,0.000406,0.000406,0.000406
32,51205.5,0.59976,0.94735,1.13763,0.51484,0.69454,0.64149,0.50824,0.80242,1.21875,1.3301,0.0003862,0.0003862,0.0003862
33,51583.9,0.59444,0.94666,1.13228,0.74685,0.55997,0.70927,0.4762,0.80776,1.24043,1.30105,0.0003664,0.0003664,0.0003664
